TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDM/H:1/Offices,80.21
CR/LFINF+CDM/H:2/Offices,160.43
CR/LFINF+CDM/HBET:3-5/Offices,401.07
CR/LFINF+CDM/HBET:6-/Offices,481.28
CR/LFINF+CDN/HBET:3-5/Offices,401.07
CR/LFINF+CDN/HBET:6-/Offices,481.28
CR+PC/LWAL+CDN/HBET:3-5/Offices,401.07
MCF/LWAL+CDL/H:1/Offices,80.21
MCF/LWAL+CDL/H:2/Offices,160.43
MCF/LWAL+CDL/HBET:3-5/Offices,401.07
MUR+CL/LWAL+CDN/H:1/Offices,80.21
MUR+CL/LWAL+CDN/H:2/Offices,160.43
MUR+ST/LWAL+CDN/H:1/Offices,80.21
MUR+ST/LWAL+CDN/H:2/Offices,160.43
CR/LFINF+CDM/H:1/Trade,51.93
CR/LFINF+CDM/H:2/Trade,103.86
MCF/LWAL+CDL/H:1/Trade,51.93
MCF/LWAL+CDL/H:2/Trade,103.86
MUR+CL/LWAL+CDN/H:1/Trade,51.93
MUR+CL/LWAL+CDN/H:2/Trade,103.86
MUR+ST/LWAL+CDN/H:1/Trade,51.93
CR/LFINF+CDN/H:1/Trade,51.93
CR/LFINF+CDN/H:2/Trade,103.86
CR+PC/LWAL+CDN/H:2/Trade,103.86
W/LFM+CDM/H:1/Trade,51.93
W/LFM+CDM/H:2/Trade,103.86
W/LFM+CDN/H:1/Trade,51.93
W/LFM+CDN/H:2/Trade,103.86
CR/LFINF+CDM/H:2/Hotels,1235.64
CR/LFINF+CDM/HBET:3-5/Hotels,3089.1
CR/LFINF+CDM/HBET:6-/Hotels,4324.75
CR/LFINF+CDN/HBET:3-5/Hotels,3089.1
CR/LFINF+CDN/HBET:6-/Hotels,4324.75
CR+PC/LWAL+CDN/HBET:3-5/Hotels,3089.1
MCF/LWAL+CDL/H:1/Hotels,308.91
MCF/LWAL+CDL/H:2/Hotels,1235.64
MCF/LWAL+CDL/HBET:3-5/Hotels,3089.1
MUR+CL/LWAL+CDN/H:1/Hotels,308.91
MUR+CL/LWAL+CDN/H:2/Hotels,1235.64
MUR+ST/LWAL+CDN/H:1/Hotels,308.91
MUR+ST/LWAL+CDN/H:2/Hotels,1235.64
W/LFM+CDM/H:1/Hotels,308.91
W/LFM+CDM/H:2/Hotels,1235.64
W/LFM+CDN/H:1/Hotels,308.91
W/LFM+CDN/H:2/Hotels,1235.64
MUR+ADO/LWAL+CDN/H:2/Hotels,1235.64
MUR+ADO/LWAL+CDN/H:1/Hotels,308.91
W/LFM+CDM/HBET:3-5/Hotels,2471.28