TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR+PC/LWAL+CDL/H:1,80,80
CR+PC/LWAL+CDL/H:2,75,75
CR+PC/LWAL+CDN/H:1,80,80
CR+PC/LWAL+CDN/H:2,75,75
CR/LFINF+CDL/H:1,80,80
CR/LFINF+CDL/H:2,75,75
CR/LFINF+CDH/H:1,80,80
CR/LFINF+CDH/H:2,75,75
CR/LFINF+CDN/H:1,80,80
CR/LFINF+CDN/H:2,75,75
MCF/LWAL+CDL/H:1,80,80
MCF/LWAL+CDL/H:2,75,75
MUR+ADO/LWAL+CDN/H:1,80,80
MUR+CL/LWAL+CDN/H:1,80,80
MUR+ST/LWAL+CDN/H:1,80,80
W/LFM+CDL/H:1,80,80
W/LFM+CDH/H:1,80,80
W/LFM+CDN/H:1,80,80
CR+PC/LWAL+CDH/H:1,80,80
CR+PC/LWAL+CDH/H:2,75,75
CR+PC/LWAL+CDL/HBET:3-5,70,70
CR+PC/LWAL+CDL/HBET:6-,64.8,64.8
CR+PC/LWAL+CDH/HBET:3-5,70,70
CR+PC/LWAL+CDH/HBET:6-,64.8,64.8
CR+PC/LWAL+CDN/HBET:3-5,70,70
CR+PC/LWAL+CDN/HBET:6-,64.8,64.8
CR/LDUAL+CDL/HBET:6-,64.8,64.8
CR/LDUAL+CDH/HBET:6-,64.8,64.8
CR/LFINF+CDL/HBET:3-5,70,70
CR/LFINF+CDL/HBET:6-,64.8,64.8
CR/LFINF+CDH/HBET:3-5,70,70
CR/LFINF+CDH/HBET:6-,64.8,64.8
CR/LFINF+CDN/HBET:3-5,70,70
CR/LFINF+CDN/HBET:6-,64.8,64.8
MCF/LWAL+CDL/HBET:3-5,70,70
MUR+CL/LWAL+CDN/H:2,75,75
MUR+CL/LWAL+CDN/HBET:3-5,70,70
MUR+ST/LWAL+CDN/H:2,75,75
MUR+ST/LWAL+CDN/HBET:3-5,70,70
W/LFM+CDL/H:2,75,75
W/LFM+CDL/HBET:3-5,70,70
W/LFM+CDH/H:2,75,75
W/LFM+CDH/HBET:3-5,70,70
W/LFM+CDN/H:2,75,75
W/LFM+CDN/HBET:3-5,70,70