ID_1,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE,POPULATION
1,CR/LFINF+CDN/HBET:3-5,111.257,RURAL,356.102
1,CR/LFINF+CDN/HBET:3-5,452.944,URBAN,1449.7447
1,CR/LWAL+CDN/HBET:3-5,19.6932,URBAN,63.0324
1,MR/LWAL+CDL/HBET:1-2,105.4014,RURAL,337.3597
1,MR/LWAL+CDL/HBET:1-2,305.2448,URBAN,977.0019
1,MR/LWAL+CDL/HBET:1-2,67.3398,RURAL,215.5354
1,MR/LWAL+CDL/HBET:1-2,147.6991,URBAN,472.7429
1,S/LFM+CDL/H:1,5.8556,RURAL,18.7422
1,S/LFM+CDL/H:1,49.233,URBAN,157.581
1,W/LFM+CDL/H:1,2.9278,RURAL,9.3711
1,W/LFM+CDL/H:1,9.8466,URBAN,31.5162
2,CR/LFINF+CDN/HBET:3-5,522.0766,URBAN,1671.0185
2,CR/LWAL+CDN/HBET:3-5,22.699,URBAN,72.653
2,MR/LWAL+CDL/HBET:1-2,351.8342,URBAN,1126.1212
2,MR/LWAL+CDL/HBET:1-2,170.2424,URBAN,544.8973
2,S/LFM+CDL/H:1,56.7475,URBAN,181.6325
2,W/LFM+CDL/H:1,11.3495,URBAN,36.3265
3,CR/LFINF+CDN/HBET:3-5,234.534,URBAN,750.6766
3,CR/LWAL+CDN/HBET:3-5,10.1971,URBAN,32.6381
3,MR/LWAL+CDL/HBET:1-2,158.0555,URBAN,505.8908
3,MR/LWAL+CDL/HBET:1-2,76.4785,URBAN,244.7859
3,S/LFM+CDL/H:1,25.4928,URBAN,81.5953
3,W/LFM+CDL/H:1,5.0986,URBAN,16.3191
4,CR/LFINF+CDN/HBET:3-5,528.9897,URBAN,1693.1455
4,CR/LWAL+CDN/HBET:3-5,22.9996,URBAN,73.615
4,MR/LWAL+CDL/HBET:1-2,356.4931,URBAN,1141.0328
4,MR/LWAL+CDL/HBET:1-2,172.4966,URBAN,552.1126
4,S/LFM+CDL/H:1,57.4989,URBAN,184.0376
4,W/LFM+CDL/H:1,11.4998,URBAN,36.8075
5,CR/LFINF+CDN/HBET:3-5,4.5894,RURAL,14.6892
5,CR/LFINF+CDN/HBET:3-5,117.5506,URBAN,376.2461
5,CR/LWAL+CDN/HBET:3-5,5.1109,URBAN,16.3585
5,MR/LWAL+CDL/HBET:1-2,4.3478,RURAL,13.9161
5,MR/LWAL+CDL/HBET:1-2,79.2189,URBAN,253.5572
5,MR/LWAL+CDL/HBET:1-2,2.7778,RURAL,8.8908
5,MR/LWAL+CDL/HBET:1-2,38.3317,URBAN,122.6889
5,S/LFM+CDL/H:1,12.7772,URBAN,40.8963
5,W/LFM+CDL/H:1,2.5554,URBAN,8.1793
6,CR/LFINF+CDN/HBET:3-5,15.6753,RURAL,50.1722
6,CR/LFINF+CDN/HBET:3-5,230.7132,URBAN,738.4472
6,CR/LWAL+CDN/HBET:3-5,10.031,URBAN,32.1064
6,MR/LWAL+CDL/HBET:1-2,14.8503,RURAL,47.5316
6,MR/LWAL+CDL/HBET:1-2,155.4806,URBAN,497.6492
6,MR/LWAL+CDL/HBET:1-2,9.4877,RURAL,30.3674
6,MR/LWAL+CDL/HBET:1-2,75.2326,URBAN,240.798
6,S/LFM+CDL/H:1,25.0775,URBAN,80.266
6,W/LFM+CDL/H:1,5.0155,URBAN,16.0532
7,CR/LFINF+CDN/HBET:3-5,43.871,RURAL,140.4187
7,CR/LFINF+CDN/HBET:3-5,667.3933,URBAN,2136.136
7,CR/LWAL+CDN/HBET:3-5,29.0171,URBAN,92.8755
7,MR/LWAL+CDL/HBET:1-2,41.562,RURAL,133.0283
7,MR/LWAL+CDL/HBET:1-2,449.7651,URBAN,1439.5699
7,MR/LWAL+CDL/HBET:1-2,26.5535,RURAL,84.9903
7,MR/LWAL+CDL/HBET:1-2,217.6283,URBAN,696.5661
7,S/LFM+CDL/H:1,2.309,RURAL,7.3905
7,S/LFM+CDL/H:1,72.5428,URBAN,232.1887
7,W/LFM+CDL/H:1,1.1545,RURAL,3.6952
7,W/LFM+CDL/H:1,14.5086,URBAN,46.4377
8,CR/LFINF+CDN/HBET:3-5,158.1607,URBAN,506.2272
8,CR/LWAL+CDN/HBET:3-5,6.8766,URBAN,22.0099
8,MR/LWAL+CDL/HBET:1-2,106.5865,URBAN,341.1531
8,MR/LWAL+CDL/HBET:1-2,51.5741,URBAN,165.0741
8,S/LFM+CDL/H:1,17.1914,URBAN,55.0247
8,W/LFM+CDL/H:1,3.4383,URBAN,11.0049
9,CR/LFINF+CDN/HBET:3-5,8.2615,RURAL,26.4426
9,CR/LFINF+CDN/HBET:3-5,437.1178,URBAN,1399.0897
9,CR/LWAL+CDN/HBET:3-5,19.0051,URBAN,60.83
9,MR/LWAL+CDL/HBET:1-2,7.8267,RURAL,25.0509
9,MR/LWAL+CDL/HBET:1-2,294.5794,URBAN,942.8648
9,MR/LWAL+CDL/HBET:1-2,5.0004,RURAL,16.0047
9,MR/LWAL+CDL/HBET:1-2,142.5384,URBAN,456.2249
9,S/LFM+CDL/H:1,47.5128,URBAN,152.075
9,W/LFM+CDL/H:1,9.5026,URBAN,30.415
10,CR/LFINF+CDN/HBET:3-5,60.2975,RURAL,192.9952
10,CR/LFINF+CDN/HBET:3-5,485.3473,URBAN,1553.4586
10,CR/LWAL+CDN/HBET:3-5,21.1021,URBAN,67.5417
10,MR/LWAL+CDL/HBET:1-2,57.124,RURAL,182.8375
10,MR/LWAL+CDL/HBET:1-2,327.0819,URBAN,1046.896
10,MR/LWAL+CDL/HBET:1-2,36.4959,RURAL,116.8129
10,MR/LWAL+CDL/HBET:1-2,158.2654,URBAN,506.5626
10,S/LFM+CDL/H:1,3.1736,RURAL,10.1576
10,S/LFM+CDL/H:1,52.7551,URBAN,168.8542
10,W/LFM+CDL/H:1,1.5868,RURAL,5.0788
10,W/LFM+CDL/H:1,10.551,URBAN,33.7708
11,CR/LFINF+CDN/HBET:3-5,3.915,RURAL,12.5309
11,CR/LFINF+CDN/HBET:3-5,668.3309,URBAN,2139.1371
11,CR/LWAL+CDN/HBET:3-5,29.0579,URBAN,93.006
11,MR/LWAL+CDL/HBET:1-2,3.709,RURAL,11.8714
11,MR/LWAL+CDL/HBET:1-2,450.3969,URBAN,1441.5924
11,MR/LWAL+CDL/HBET:1-2,2.3696,RURAL,7.5845
11,MR/LWAL+CDL/HBET:1-2,217.934,URBAN,697.5447
11,S/LFM+CDL/H:1,72.6447,URBAN,232.5149
11,W/LFM+CDL/H:1,14.5289,URBAN,46.503